,test_size,unanswed,high_conf,badness,p1,p2,false_positives,accuracy,auc,c@1,final_score,corpus,classif,vec,shifter
42,200,64,81,88.88634972749267,0.11,0.89,2,0.59,0.6448,0.5412,0.34896576,en_novels,"Kestemont GI, Cosine "," 2,3,4,5-grams ", manual
43,200,52,80,88.82309059738445,0.06194,0.15134,20,0.59,0.6671500000000001,0.5985,0.3992892750000001,en_novels,"Kestemont GI, Cosine "," 2,3,4,5-grams ", fitted
44,100,63,18,41.34618026014735,0.11,0.89,3,0.68,0.756,0.5542,0.41897520000000005,gr_articles,"Kestemont GI, Cosine "," 2,3,4,5-grams ", manual
45,100,14,19,31.478884418547487,0.42848,0.70562,5,0.77,0.8554,0.798,0.6826092,gr_articles,"Kestemont GI, Cosine "," 2,3,4,5-grams ", fitted
46,100,60,26,37.848822377508284,0.11,0.89,1,0.58,0.8314,0.624,0.5187936,sp_articles,"Kestemont GI, Cosine "," 2,3,4,5-grams ", manual
47,100,8,26,28.10556345481241,0.37484,0.60728,15,0.73,0.9191999999999999,0.7884000000000001,0.72469728,sp_articles,"Kestemont GI, Cosine "," 2,3,4,5-grams ", fitted
48,96,21,72,14.378200779992904,0.11,0.89,2,0.8645833333333334,0.9544270833333333,0.9267578125,0.8845227559407551,du_essays,"BDI, Minmax "," 2,3,4-grams ", manual
49,96,13,72,12.673229260443188,0.10664,0.61622,4,0.8645833333333334,0.9646267361111112,0.9343532986111112,0.9013021728138866,du_essays,"BDI, Minmax "," 2,3,4-grams ", fitted
50,50,9,36,20.31655617676203,0.11,0.89,0,0.64,0.7263999999999999,0.6136,0.44571904,du_reviews,"BDI, Minmax "," 2,3,4-grams ", manual
51,50,1,36,19.079536333984585,0.07088,0.08876,4,0.64,0.7464,0.6324000000000001,0.47202336,du_reviews,"BDI, Minmax "," 2,3,4-grams ", fitted
52,200,32,163,87.23791144625957,0.11,0.89,0,0.605,0.6383000000000001,0.5568,0.35540544,en_essays,"BDI, Minmax "," 2,3,4-grams ", manual
53,200,2,161,85.66393212258794,0.13346,0.16922,6,0.6,0.6065499999999999,0.5959000000000001,0.361443145,en_essays,"BDI, Minmax "," 2,3,4-grams ", fitted
54,200,29,163,89.0282315433496,0.11,0.89,2,0.595,0.62455,0.5496,0.34325268000000003,en_novels,"BDI, Minmax "," 2,3,4-grams ", manual
55,200,1,162,84.92700455029197,0.06194,0.07088,10,0.585,0.6357499999999999,0.587925,0.37377331874999997,en_novels,"BDI, Minmax "," 2,3,4-grams ", fitted
56,100,40,55,31.365482941064172,0.11,0.89,1,0.79,0.845,0.7000000000000001,0.5915,gr_articles,"BDI, Minmax "," 2,3,4-grams ", manual
57,100,18,55,28.838296117313373,0.1871,0.57152,4,0.78,0.8656,0.767,0.6639152,gr_articles,"BDI, Minmax "," 2,3,4-grams ", fitted
58,100,37,52,28.143303006336303,0.11,0.89,1,0.79,0.8839999999999999,0.8083,0.7145372,sp_articles,"BDI, Minmax "," 2,3,4-grams ", manual
59,100,4,49,21.5585286389076,0.11558,0.30332,14,0.8,0.939,0.8216,0.7714823999999999,sp_articles,"BDI, Minmax "," 2,3,4-grams ", fitted
60,96,19,75,14.151389196461848,0.11,0.89,2,0.8541666666666666,0.9552951388888888,0.9233940972222221,0.8821138923550828,du_essays,"BDI, Minmax "," 2,3,4,5-grams ", manual
61,96,18,74,13.129688389788107,0.07982,0.7682,2,0.84375,0.9592013888888888,0.927734375,0.8898841010199652,du_essays,"BDI, Minmax "," 2,3,4,5-grams ", fitted
62,50,10,35,21.10888988281925,0.11,0.89,0,0.58,0.6928000000000001,0.5760000000000001,0.3990528000000001,du_reviews,"BDI, Minmax "," 2,3,4,5-grams ", manual
63,50,3,35,20.44979049668711,0.053,0.1424,5,0.56,0.6936000000000001,0.5724,0.3970166400000001,du_reviews,"BDI, Minmax "," 2,3,4,5-grams ", fitted
64,200,27,162,85.22078430196089,0.11,0.89,0,0.605,0.62425,0.5675,0.354261875,en_essays,"BDI, Minmax "," 2,3,4,5-grams ", manual
65,200,14,162,83.4251062579062,0.08876,0.20498,5,0.615,0.6137,0.59385,0.364445745,en_essays,"BDI, Minmax "," 2,3,4,5-grams ", fitted
66,200,34,161,88.19054822228888,0.11,0.89,0,0.595,0.6219,0.5557500000000001,0.3456209250000001,en_novels,"BDI, Minmax "," 2,3,4,5-grams ", manual
67,200,0,160,83.07595930181836,0.053,0.06194,11,0.605,0.62605,0.605,0.37876024999999997,en_novels,"BDI, Minmax "," 2,3,4,5-grams ", fitted
68,100,34,61,32.370005654494044,0.11,0.89,2,0.8,0.8482000000000001,0.6968000000000001,0.5910257600000001,gr_articles,"BDI, Minmax "," 2,3,4,5-grams ", manual
69,100,25,62,30.288432856527834,0.08876,0.66986,4,0.79,0.8396,0.7375,0.619205,gr_articles,"BDI, Minmax "," 2,3,4,5-grams ", fitted
70,100,35,53,27.635239434186953,0.11,0.89,1,0.78,0.8822000000000001,0.81,0.7145820000000002,sp_articles,"BDI, Minmax "," 2,3,4,5-grams ", manual
71,100,6,54,20.615481065358743,0.07982,0.20498,13,0.77,0.9334,0.8162,0.7618410800000001,sp_articles,"BDI, Minmax "," 2,3,4,5-grams ", fitted
72,96,23,72,14.579794429141547,0.11,0.89,2,0.875,0.9507378472222222,0.9167751736111112,0.8716128549458069,du_essays,"BDI, Cosine "," 2,3,4-grams ", manual
